PSR-SX900 Style List - From Yamaha Tech Support				
				5/30/2022									
F0 43 73 01 51 05 00 03 04 00 00 dd dd F7													
													
						Confidential							
Order	Category	Cat. Number	Order In Cat.	Style Name	ID(Hex)								
489	World	9	22	ScottishReel	3	67							
490	World	9	23	ScottishStrathspey	3	70							
491	World	9	24	ScottishPolka	B	65							
492	World	9	25	ScottishWaltz	F	74							
493	World	9	26	BrassBand	18	28							
494	World	9	27	IrishHymn	3F	65							
495	World	9	28	CelticDance3-4	14	62							
496	World	9	29	CelticDance	2F	6B							
497	World	9	30	IrishDance	43	62							
498	World	9	31	Jing Ju Jie Zou	2	9							
499	World	9	32	Xi Qing Luo Gu	2C	56							
500	World	9	33	Duranguense	3	47							
501	World	9	34	Grupera		43	12							
502	World	9	35	MalfufFunk	2D	67							
503	World	9	36	ScandSlowRock	3C	3							
504	World	9	37	ScandCountry	2E	7							
505	World	9	38	ScandBugg	1C	64							
506	World	9	39	ScandShuffle	37	61							
507	World	9	40	ScandWaltz	F	6B							
508	World	9	41	FrenchMusette	F	67							
509	World	9	42	FrenchWaltz	F	68							
510	World	9	43	Tarantella	B	63							
511	World	9	44	Sirtaki		3	68							
512	World	9	45	MexicanDance	3	6A							
513	World	9	46	BohemianWaltz	2B	61							
514	World	9	47	GermanWaltz	F	76							
515	World	9	48	ItalianWaltz	F	6A							
516	World	9	49	ItalianMazurka	F	69							
517	World	9	50	MariachiWaltz	F	6E							
518	World	9	51	Flamenco		F	6D							
519	World	9	52	SpanishPaso	1B	61							
520	World	9	53	US MarchingBand	3	48							
521	World	9	54	GermanMarch1	3	43							
522	World	9	55	GermanMarch2	3	44							
523	World	9	56	AlpenLand	2E	2E							
524	World	9	57	FolkSongDuo	2C	9							
525	World	9	58	FolkPop		2E	D							
